YEAR MO DA HH MM     P    u10m  d10m    T2m   RH2m      NR  VWC-7   T-1.6   T-3.9   T-5.8   T-8.5  T-10.4    T-15    T-25    T-70       
2013 05 14 04 20   865.5   5.1  344.  25.89    15.   -63.8   -NaN   21.80   22.10   23.74   24.43   24.65   24.21   21.32   14.80
2013 05 14 04 25   865.7   3.1  332.  25.50    16.   -70.1   -NaN   21.77   22.12   23.64   24.34   24.56   24.16   21.33   14.80
2013 05 14 04 30   865.6   0.8  348.  24.17    17.   -71.4   -NaN   21.74   22.06   23.55   24.26   24.48   24.12   21.34   14.81
2013 05 14 04 35   865.6   0.7   14.  24.42    16.   -70.7   -NaN   21.60   21.87   23.45   24.17   24.38   24.05   21.33   14.80
2013 05 14 04 40   865.6   1.1   35.  25.15    16.   -70.6   -NaN   21.44   21.68   23.37   24.10   24.31   24.02   21.35   14.81
2013 05 14 04 45   865.6   0.9   27.  24.80    16.   -69.7   -NaN   21.26   21.48   23.28   24.03   24.24   23.98   21.36   14.82
2013 05 14 04 50   865.6   1.1   62.  26.46    14.   -67.0   -NaN   21.07   21.28   23.18   23.96   24.18   23.95   21.38   14.83
2013 05 14 04 55   865.5   1.6   73.  27.02    14.   -64.7   -NaN   20.89   21.09   23.07   23.88   24.11   23.91   21.39   14.84
2013 05 14 05 00   865.5   1.3   90.  24.72    16.   -63.0   -NaN   20.72   20.92   22.96   23.81   24.03   23.88   21.40   14.85
2013 05 14 05 05   865.5   1.6  122.  23.92    17.   -57.9   -NaN   20.56   20.76   22.85   23.73   23.96   23.83   21.39   14.84
2013 05 14 05 10   865.5   1.9  137.  25.30    15.   -56.4   -NaN   20.43   20.65   22.74   23.66   23.88   23.79   21.40   14.85
2013 05 14 05 15   865.4   3.1  156.  25.13    15.   -59.1   -NaN   20.32   20.56   22.63   23.58   23.81   23.75   21.40   14.85
2013 05 14 05 20   865.4   2.8  146.  25.91    14.   -63.4   -NaN   20.22   20.48   22.53   23.50   23.72   23.69   21.39   14.84
2013 05 14 05 25   865.4   2.6  139.  25.56    15.   -64.5   -NaN   20.14   20.40   22.44   23.42   23.64   23.63   21.38   14.82
2013 05 14 05 30   865.3   3.0  124.  23.77    18.   -64.8   -NaN   20.05   20.31   22.34   23.34   23.56   23.58   21.37   14.81
2013 05 14 05 35   865.3   3.3  128.  22.50    19.   -63.9   -NaN   19.93   20.19   22.25   23.26   23.50   23.54   21.36   14.81
2013 05 14 05 40   865.3   2.7  137.  21.82    20.   -61.8   -NaN   19.80   20.08   22.16   23.18   23.43   23.50   21.37   14.81
2013 05 14 05 45   865.3   2.9  139.  21.82    20.   -61.4   -NaN   19.65   19.92   22.06   23.10   23.37   23.47   21.38   14.83
2013 05 14 05 50   865.3   2.7  145.  21.71    21.   -61.5   -NaN   19.49   19.75   21.98   23.04   23.30   23.44   21.41   14.86
2013 05 14 05 55   865.3   2.9  148.  21.41    21.   -60.8   -NaN   19.34   19.57   21.89   22.97   23.23   23.41   21.43   14.88
2013 05 14 06 00   865.3   3.3  154.  21.25    22.   -58.6   -NaN   19.19   19.39   21.79   22.90   23.16   23.38   21.45   14.90
2013 05 14 06 05   865.4   3.1  163.  20.80    22.   -61.1   -NaN   19.03   19.24   21.66   22.80   23.08   23.33   21.43   14.88
2013 05 14 06 10   865.5   3.1  193.  20.02    23.   -64.5   -NaN   18.92   19.14   21.55   22.72   23.00   23.27   21.42   14.89
2013 05 14 06 15   865.5   2.9  201.  19.75    24.   -67.4   -NaN   18.84   19.06   21.45   22.64   22.92   23.21   21.40   14.86
2013 05 14 06 20   865.5   3.1  219.  19.88    24.   -67.3   -NaN   18.74   18.98   21.36   22.56   22.84   23.16   21.39   14.86
2013 05 14 06 25   865.6   2.7  254.  19.96    23.   -68.8   -NaN   18.65   18.89   21.27   22.48   22.76   23.11   21.38   14.85
2013 05 14 06 30   865.6   1.5  250.  21.46    21.   -69.7   -NaN   18.58   18.82   21.19   22.41   22.70   23.06   21.38   14.85
2013 05 14 06 35   865.6   0.8  239.  22.15    20.   -65.5   -NaN   18.48   18.74   21.12   22.35   22.64   23.03   21.39   14.88
2013 05 14 06 40   865.6   1.1  219.  22.58    19.   -62.4   -NaN   18.37   18.63   21.04   22.28   22.57   23.00   21.40   14.89
2013 05 14 06 45   865.6   1.1  236.  22.29    20.   -61.4   -NaN   18.25   18.51   20.96   22.21   22.51   22.96   21.41   14.90
2013 05 14 06 50   865.6   1.2  258.  22.44    19.   -58.3   -NaN   18.11   18.36   20.86   22.13   22.43   22.91   21.39   14.91
2013 05 14 06 55   865.6   2.2  274.  23.24    19.   -58.6   -NaN   17.99   18.24   20.76   22.06   22.36   22.86   21.39   14.90
2013 05 14 07 00   865.6   3.1  279.  23.16    19.   -59.7   -NaN   17.89   18.14   20.68   21.98   22.29   22.82   21.39   14.91
2013 05 14 07 05   865.7   3.5  291.  23.13    19.   -59.2   -NaN   17.79   18.05   20.60   21.91   22.22   22.77   21.39   14.91
2013 05 14 07 10   865.7   3.6  303.  22.07    21.   -61.2   -NaN   17.69   17.97   20.51   21.85   22.15   22.73   21.38   14.92
2013 05 14 07 15   865.7   3.6  306.  21.30    23.   -63.6   -NaN   17.61   17.89   20.43   21.77   22.08   22.68   21.38   14.93
2013 05 14 07 20   865.7   3.6  310.  21.37    23.   -67.3   -NaN   17.52   17.86   20.35   21.70   22.00   22.63   21.36   14.92
2013 05 14 07 25   865.7   4.2  310.  22.06    21.   -69.4   -NaN   17.48   17.88   20.28   21.63   21.93   22.58   21.34   14.91
2013 05 14 07 30   865.8   4.0  316.  22.06    21.   -70.9   -NaN   17.46   17.94   20.21   21.55   21.85   22.51   21.32   14.88
2013 05 14 07 35   865.8   4.1  330.  21.67    22.   -71.2   -NaN   17.47   17.99   20.15   21.47   21.77   22.46   21.29   14.86
2013 05 14 07 40   865.8   4.2  328.  21.29    23.   -70.8   -NaN   17.48   18.02   20.10   21.40   21.71   22.41   21.28   14.86
2013 05 14 07 45   865.8   5.0  328.  21.58    22.   -72.4   -NaN   17.48   18.03   20.05   21.33   21.64   22.35   21.26   14.85
2013 05 14 07 50   865.8   4.7  332.  21.58    22.   -73.9   -NaN   17.50   18.08   20.00   21.27   21.58   22.30   21.25   14.84
2013 05 14 07 55   865.8   4.3  328.  21.26    23.   -73.5   -NaN   17.54   18.12   19.96   21.21   21.52   22.25   21.22   14.83
2013 05 14 08 00   865.7   4.7  321.  21.28    23.   -73.4   -NaN   17.56   18.12   19.93   21.16   21.46   22.20   21.22   14.84
2013 05 14 08 05   865.7   4.7  319.  21.38    22.   -73.7   -NaN   17.55   18.13   19.89   21.10   21.40   22.15   21.20   14.83
2013 05 14 08 10   865.7   3.8  324.  21.19    23.   -72.3   -NaN   17.56   18.12   19.86   21.05   21.35   22.11   21.19   14.83
2013 05 14 08 15   865.7   2.9  318.  20.95    23.   -69.3   -NaN   17.52   18.05   19.84   21.01   21.31   22.07   21.18   14.85
2013 05 14 08 20   865.8   1.0   42.  20.36    24.   -65.9   -NaN   17.45   17.93   19.82   20.98   21.27   22.04   21.19   14.88
2013 05 14 08 25   865.9   2.6  117.  18.51    27.   -69.8   -NaN   17.33   17.73   19.78   20.94   21.23   22.00   21.19   14.90
2013 05 14 08 30   866.0   2.3  128.  18.42    27.   -70.9   -NaN   17.21   17.53   19.72   20.90   21.18   21.95   21.18   14.90
2013 05 14 08 35   866.0   1.9  191.  19.94    25.   -68.9   -NaN   17.10   17.38   19.64   20.85   21.13   21.90   21.16   14.90
2013 05 14 08 40   866.0   2.5  164.  18.17    28.   -67.8   -NaN   17.01   17.29   19.57   20.80   21.09   21.86   21.14   14.89
2013 05 14 08 45   866.0   0.9  174.  19.75    25.   -65.0   -NaN   16.91   17.17   19.51   20.75   21.05   21.82   21.13   14.89
2013 05 14 08 50   866.1   0.6  247.  20.73    23.   -60.5   -NaN   16.80   17.05   19.44   20.70   21.00   21.79   21.13   14.90
2013 05 14 08 55   866.0   1.2  223.  20.55    23.   -59.4   -NaN   16.66   16.93   19.36   20.65   20.96   21.76   21.13   14.92
2013 05 14 09 00   866.0   0.8  187.  19.66    25.   -59.8   -NaN   16.53   16.80   19.28   20.60   20.91   21.73   21.13   14.94
2013 05 14 09 05   866.1   0.6  219.  18.67    27.   -62.0   -NaN   16.39   16.65   19.20   20.54   20.87   21.70   21.12   14.95
2013 05 14 09 10   866.1   0.4  215.  18.62    27.   -59.8   -NaN   16.27   16.52   19.12   20.48   20.83   21.68   21.12   14.97
2013 05 14 09 15   866.1   1.2  247.  18.90    27.   -58.2   -NaN   16.15   16.40   19.05   20.43   20.77   21.63   21.12   14.99
2013 05 14 09 20   866.1   1.2  240.  19.05    26.   -56.7   -NaN   16.03   16.29   18.97   20.38   20.72   21.60   21.11   15.00
2013 05 14 09 25   866.1   1.5  234.  19.04    26.   -56.0   -NaN   15.92   16.17   18.89   20.32   20.67   21.57   21.11   15.01
2013 05 14 09 30   866.1   1.5  236.  19.04    26.   -54.8   -NaN   15.81   16.05   18.81   20.26   20.61   21.53   21.10   15.02
2013 05 14 09 35   866.1   1.8  245.  19.12    26.   -54.5   -NaN   15.71   15.94   18.73   20.20   20.55   21.49   21.09   15.03
2013 05 14 09 40   866.1   2.5  250.  19.12    26.   -54.6   -NaN   15.59   15.82   18.64   20.12   20.47   21.44   21.06   15.00
2013 05 14 09 45   866.1   2.5  250.  19.27    26.   -53.9   -NaN   15.50   15.72   18.56   20.06   20.41   21.39   21.04   15.00
2013 05 14 09 50   866.2   2.6  247.  19.21    26.   -53.9   -NaN   15.41   15.62   18.48   20.00   20.35   21.36   21.03   15.01
2013 05 14 09 55   866.1   2.9  253.  19.07    26.   -53.4   -NaN   15.33   15.52   18.41   19.93   20.29   21.32   21.02   15.01
2013 05 14 10 00   866.2   2.8  260.  19.02    26.   -53.2   -NaN   15.25   15.42   18.33   19.87   20.23   21.27   21.00   15.01
2013 05 14 10 05   866.2   2.7  256.  19.09    26.   -53.1   -NaN   15.16   15.34   18.25   19.80   20.16   21.23   20.98   15.01
2013 05 14 10 10   866.2   2.4  254.  19.12    25.   -53.1   -NaN   15.09   15.26   18.17   19.74   20.10   21.19   20.97   15.01
2013 05 14 10 15   866.2   1.9  257.  19.43    25.   -52.2   -NaN   15.02   15.20   18.11   19.68   20.05   21.15   20.95   15.01
2013 05 14 10 20   866.3   1.7  254.  19.43    25.   -52.1   -NaN   14.95   15.13   18.03   19.62   19.98   21.10   20.94   15.02
2013 05 14 10 25   866.3   1.9  262.  19.05    25.   -52.1   -NaN   14.88   15.06   17.97   19.56   19.92   21.06   20.92   15.02
2013 05 14 10 30   866.4   1.8  295.  18.76    26.   -52.8   -NaN   14.81   15.00   17.90   19.50   19.86   21.02   20.90   15.02
2013 05 14 10 35   866.5   2.4   11.  17.28    29.   -56.4   -NaN   14.75   14.94   17.84   19.43   19.80   20.97   20.89   15.02
2013 05 14 10 40   866.8   4.4   18.  14.48    35.   -64.1   -NaN   14.72   14.87   17.79   19.37   19.73   20.92   20.86   15.01
2013 05 14 10 45   866.8   3.0   11.  14.17    35.   -66.7   -NaN   14.72   14.80   17.74   19.29   19.67   20.87   20.83   14.99
2013 05 14 10 50   866.8   2.2   11.  14.07    36.   -64.5   -NaN   14.71   14.77   17.67   19.21   19.60   20.80   20.78   14.95
2013 05 14 10 55   866.8   2.9  354.  13.87    37.   -63.2   -NaN   14.68   14.72   17.61   19.15   19.55   20.77   20.77   14.95
2013 05 14 11 00   866.8   2.8  350.  14.14    37.   -60.9   -NaN   14.59   14.64   17.54   19.09   19.51   20.74   20.77   14.96
2013 05 14 11 05   866.9   2.8  346.  14.48    37.   -60.0   -NaN   14.48   14.56   17.47   19.04   19.46   20.71   20.76   14.96
2013 05 14 11 10   866.9   2.8  343.  14.60    38.   -59.1   -NaN   14.38   14.45   17.42   19.00   19.41   20.67   20.75   14.99
2013 05 14 11 15   866.9   4.0  333.  14.62    38.   -58.8   -NaN   14.27   14.34   17.36   18.96   19.35   20.63   20.74   15.02
2013 05 14 11 20   866.9   4.8  330.  14.42    38.   -59.5   -NaN   14.17   14.25   17.30   18.91   19.30   20.59   20.73   15.03
2013 05 14 11 25   866.9   4.8  324.  14.94    37.   -62.8   -NaN   14.09   14.19   17.22   18.86   19.24   20.55   20.72   15.03
2013 05 14 11 30   866.8   4.8  306.  15.03    37.   -64.9   -NaN   14.06   14.21   17.15   18.79   19.18   20.49   20.69   15.03
2013 05 14 11 35   866.8   4.7  294.  14.75    37.   -66.2   -NaN   14.05   14.25   17.10   18.73   19.12   20.45   20.66   15.02
2013 05 14 11 40   866.8   5.1  295.  14.79    37.   -67.3   -NaN   14.04   14.26   17.04   18.66   19.05   20.39   20.62   14.99
2013 05 14 11 45   866.7   5.9  295.  15.26    36.   -68.6   -NaN   14.03   14.30   17.00   18.61   18.99   20.34   20.59   14.98
2013 05 14 11 50   866.8   6.0  298.  15.85    35.   -70.6   -NaN   14.04   14.36   16.95   18.55   18.93   20.28   20.55   14.96
2013 05 14 11 55   866.8   5.7  300.  16.26    34.   -71.7   -NaN   14.07   14.45   16.91   18.50   18.86   20.21   20.51   14.93
2013 05 14 12 00   866.8   5.8  304.  16.70    34.   -72.6   -NaN   14.12   14.55   16.88   18.44   18.80   20.16   20.47   14.92
